identification,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
5993118,HP101989,1/1/08 21:00,001XX W DIVISION ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1821,18,43,8,14,1174674,1908374,2008,1/4/08 1:05,"(41.90397284648042, -87.63381542906)"
5999096,HP101669,1/1/08 21:30,001XX W GRAND AVE,820,THEFT,$300 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1831,18,42,8,6,1174703,1903901,2008,1/10/08 1:05,"(41.89169805129497, -87.63384286588551)"
6064457,HP101429,1/1/08 19:40,001XX W HUBBARD ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1831,18,42,8,16,1175418,1903335,2008,2/10/08 1:05,"(41.89012889186498, -87.63123403234553)"
5991951,HP100750,1/1/08 1:00,001XX W HUBBARD ST,890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,FALSE,FALSE,1831,18,42,8,6,1175248,1903330,2008,1/5/08 1:04,"(41.89011898690639, -87.63185849323578)"
5999407,HP101963,1/2/08 9:30,001XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,113,1,42,32,11,1175354,1901695,2008,1/9/08 1:04,"(41.88563007711091, -87.63151832566108)"
5996161,HP104254,1/2/08 9:30,001XX W MADISON ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,BANK,FALSE,FALSE,113,1,42,32,10,1175496,1900404,2008,1/22/08 9:10,"(41.8820843110038, -87.63103567628474)"
6007568,HP114398,1/1/08 9:00,001XX W RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,113,1,42,32,11,1175474,1901315,2008,1/23/08 14:56,"(41.88458464161158, -87.631089085823)"
5995352,HP101847,1/2/08 0:01,001XX W WASHINGTON ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,113,1,42,32,26,1174947,1900848,2008,1/6/08 1:05,"(41.88331498386796, -87.63303827629632)"
7549118,HS352568,1/1/08 6:00,002XX E 132ND ST,842,THEFT,AGG: FINANCIAL ID THEFT,OTHER,FALSE,FALSE,533,,9,54,6,,,2008,7/7/10 1:20,
6000412,HP100327,1/1/08 2:00,002XX E CHESTNUT ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1833,18,42,8,08B,1177990,1906418,2008,1/23/08 14:56,"(41.89853065103494, -87.62169468424352)"
6843668,HR250151,1/1/08 15:00,002XX E ERIE ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1834,18,42,8,6,1178081,1904790,2008,4/11/09 1:04,"(41.894061272704924, -87.62141006841722)"
6002661,HP101431,1/1/08 19:30,002XX E GARFIELD BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,232,2,3,40,08B,1178688,1868637,2008,1/14/08 1:04,"(41.7948410803386, -87.62028318138894)"
