Year,Month,Value
1787,Apr,81
1787,May,115
1787,Jun,49
1787,Jul,34
1787,Aug,14
1787,Sep,43
1787,Oct,133
1787,Nov,83
1787,Dec,72
1788,Jan,47
1788,Feb,76
1788,Mar,47
1788,Apr,14
1788,May,84
1788,Jun,90
1788,Jul,42
1788,Aug,64
1788,Sep,69
1788,Oct,1
1788,Nov,7
1788,Dec,4
1789,Jan,45
1789,Feb,47
1789,Mar,44
1789,Apr,64
1789,May,27
1789,Jun,73
1789,Jul,49
1789,Aug,28
1789,Sep,50
1789,Oct,87
1789,Nov,56
1789,Dec,26
1790,Jan,32
1790,Feb,5
1790,Mar,10
1790,Apr,46
1790,May,40
1790,Jun,6
1790,Jul,97
1790,Aug,6
1790,Sep,16
1790,Oct,48
1790,Nov,49
1790,Dec,66
1791,Jan,82
1791,Feb,38
1791,Mar,32
1791,Apr,78
1791,May,48
1791,Jun,9
1791,Jul,34
1791,Aug,36
1791,Sep,4
1791,Oct,29
1791,Nov,22
1791,Dec,74
1792,Jan,54
1792,Feb,37
1792,Mar,42
1792,Apr,72
1792,May,45
1792,Jun,52
1792,Jul,108
1792,Aug,48
1792,Sep,55
1792,Oct,123
1792,Nov,11
1792,Dec,75
1793,Jan,68
1793,Feb,45
1793,Mar,29
1793,Apr,19
1793,May,19
1793,Jun,24
1793,Jul,36
1793,Aug,2
1793,Sep,33
1793,Oct,23
1793,Nov,77
1793,Dec,20
1794,Jan,37
1794,Feb,21
1794,Mar,37
1794,Apr,67
1794,May,50
1794,Jun,19
1794,Jul,50
1794,Aug,29
1794,Sep,100
1794,Oct,29
1794,Nov,30
1794,Dec,24
1795,Jan,25
1795,Feb,45
1795,Mar,47
1795,Apr,24
1795,May,33
1795,Jun,79
1795,Jul,70
1795,Aug,21
1795,Sep,14
1795,Oct,97
1795,Nov,73
1795,Dec,47
1796,Jan,28
1796,Feb,71
1796,Mar,12
1796,Apr,5
1796,May,58
1796,Jun,63
1796,Jul,63
1796,Aug,30
1796,Sep,20
1796,Oct,89
1796,Nov,9
1796,Dec,75
1797,Jan,54
1797,Feb,4
1797,Mar,33
1797,Apr,60
1797,May,58
1797,Jun,59
1797,Jul,95
1797,Aug,34
1797,Sep,61
1797,Oct,42
1797,Nov,101
1797,Dec,67
1798,Jan,46
1798,Feb,21
1798,Mar,16
1798,Apr,37
1798,May,36
1798,Jun,23
1798,Jul,23
1798,Aug,34
1798,Sep,69
1798,Oct,48
1798,Nov,61
1798,Dec,25
1799,Jan,37
1799,Feb,49
1799,Mar,25
1799,Apr,72
1799,May,47
1799,Jun,34
1799,Jul,68
1799,Aug,46
1799,Sep,69
1799,Oct,120
1799,Nov,49
1799,Dec,25
1800,Jan,37
1800,Feb,6
1800,Mar,25
1800,Apr,72
1800,May,47
1800,Jun,57
1800,Jul,2
1800,Aug,115
1800,Sep,92
1800,Oct,36
1800,Nov,122
1800,Dec,75
1801,Jan,49
1801,Feb,49
1801,Mar,61
1801,Apr,24
1801,May,70
1801,Jun,57
1801,Jul,169
1801,Aug,34
1801,Sep,69
1801,Oct,120
1801,Nov,122
1801,Dec,75
1802,Jan,25
1802,Feb,61
1802,Mar,37
1802,Apr,36
1802,May,12
1802,Jun,68
1802,Jul,34
1802,Aug,12
1802,Sep,35
1802,Oct,60
1802,Nov,61
1802,Dec,50
1803,Jan,36
1803,Feb,48
1803,Mar,24
1803,Apr,47
1803,May,45
1803,Jun,55
1803,Jul,11
1803,Aug,11
1803,Sep,22
1803,Oct,46
1803,Nov,82
1803,Dec,76
1804,Jan,71
1804,Feb,42
1804,Mar,24
1804,Apr,57
1804,May,58
1804,Jun,34
1804,Jul,113
1804,Aug,130
1804,Sep,71
1804,Oct,77
1804,Nov,71
1804,Dec,61
1805,Jan,49
1805,Feb,43
1805,Mar,37
1805,Apr,30
1805,May,58
1805,Jun,35
1805,Jul,34
1805,Aug,87
1805,Sep,84
1805,Oct,60
1805,Nov,45
1805,Dec,65
1806,Jan,88
1806,Feb,88
1806,Mar,94
1806,Apr,18
1806,May,14
1806,Jun,12
1806,Jul,31
1806,Aug,61
1806,Sep,44
1806,Oct,36
1806,Nov,24
1806,Dec,40
1807,Jan,39
1807,Feb,46
1807,Mar,11
1807,Apr,32
1807,May,81
1807,Jun,19
1807,Jul,12
1807,Aug,61
1807,Sep,58
1807,Oct,35
1807,Nov,128
1807,Dec,15
1808,Jan,27
1808,Feb,14
1808,Mar,13
1808,Apr,13
1808,May,18
1808,Jun,46
1808,Jul,68
1808,Aug,79
1808,Sep,61
1808,Oct,74
1808,Nov,48
1808,Dec,24
1809,Jan,59
1809,Feb,34
1809,Mar,18
1809,Apr,23
1809,May,50
1809,Jun,33
1809,Jul,64
1809,Aug,58
1809,Sep,48
1809,Oct,2
1809,Nov,45
1809,Dec,122
1810,Jan,0
1810,Feb,32
1810,Mar,44
1810,Apr,24
1810,May,70
1810,Jun,3
1810,Jul,101
1810,Aug,27
1810,Sep,6
1810,Oct,60
1810,Nov,63
1810,Dec,65
1811,Jan,68
1811,Feb,78
1811,Mar,10
1811,Apr,70
1811,May,52
1811,Jun,100
1811,Jul,65
1811,Aug,61
1811,Sep,50
1811,Oct,50
1811,Nov,63
1811,Dec,43
1812,Jan,39
1812,Feb,69
1812,Mar,55
1812,Apr,72
1812,May,46
1812,Jun,50
1812,Jul,17
1812,Aug,49
1812,Sep,16
1812,Oct,98
1812,Nov,38
1812,Dec,16
1813,Jan,31
1813,Feb,21
1813,Mar,13
1813,Apr,42
1813,May,56
1813,Jun,91
1813,Jul,101
1813,Aug,15
1813,Sep,42
1813,Oct,65
1813,Nov,47
1813,Dec,39
1814,Jan,38
1814,Feb,17
1814,Mar,14
1814,Apr,53
1814,May,38
1814,Jun,50
1814,Jul,10
1814,Aug,39
1814,Sep,16
1814,Oct,42
1814,Nov,52
1814,Dec,67
1815,Jan,21
