Year,Month,Value
1953,Oct,24
1953,Nov,18
1953,Dec,9
1954,Jan,26
1954,Feb,55
1954,Mar,45
1954,Apr,2
1954,May,34
1954,Jun,46
1954,Jul,31
1954,Aug,55
1954,Sep,92
1954,Oct,36
1954,Nov,28
1954,Dec,37
1955,Jan,89
1955,Feb,75
1955,Mar,16
1955,Apr,8
1955,May,70
1955,Jun,58
1955,Jul,162
1955,Aug,19
1955,Sep,46
1955,Oct,53
1955,Nov,23
1955,Dec,55
1956,Jan,66
1956,Feb,14
1956,Mar,13
1956,Apr,56
1956,May,31
1956,Jun,51
1956,Jul,48
1956,Aug,92
1956,Sep,36
1956,Oct,64
1956,Nov,40
1956,Dec,35
1957,Jan,21
1957,Feb,91
1957,Mar,22
1957,Apr,20
1957,May,26
1957,Jun,75
1957,Jul,67
1957,Aug,52
1957,Sep,86
1957,Oct,25
1957,Nov,26
1957,Dec,37
1958,Jan,83
1958,Feb,92
1958,Mar,23
1958,Apr,64
1958,May,72
1958,Jun,113
1958,Jul,85
1958,Aug,65
1958,Sep,39
1958,Oct,44
1958,Nov,42
1958,Dec,62
1959,Jan,96
1959,Feb,1
1959,Mar,42
1959,Apr,70
1959,May,28
1959,Jun,21
1959,Jul,16
1959,Aug,14
1959,Sep,5
1959,Oct,45
1959,Nov,45
1959,Dec,70
1960,Jan,40
1960,Feb,40
1960,Mar,45
1960,Apr,14
1960,May,24
1960,Jun,110
1960,Jul,66
1960,Aug,90
1960,Sep,66
1960,Oct,124
1960,Nov,62
1960,Dec,58
1961,Jan,62
1961,Feb,35
1961,Mar,4
1961,Apr,49
1961,May,57
1961,Jun,37
1961,Jul,50
1961,Aug,5
1961,Sep,60
1961,Oct,72
1961,Nov,62
1961,Dec,48
1962,Jan,59
1962,Feb,28
1962,Mar,57
1962,Apr,36
1962,May,43
1962,Jun,17
1962,Jul,55
1962,Aug,30
1962,Sep,41
1962,Oct,33
1962,Nov,89
1962,Dec,40
1963,Jan,14
1963,Feb,23
1963,Mar,64
1963,Apr,46
1963,May,50
1963,Jun,85
1963,Jul,25
1963,Aug,107
1963,Sep,29
1963,Oct,20
1963,Nov,91
1963,Dec,5
1964,Jan,21
1964,Feb,43
1964,Mar,47
1964,Apr,59
1964,May,67
1964,Jun,42
1964,Jul,32
1964,Aug,20
1964,Sep,42
1964,Oct,56
1964,Nov,46
1964,Dec,47
1965,Jan,91
1965,Feb,7
1965,Mar,80
1965,Apr,58
1965,May,76
1965,Jun,37
1965,Jul,97
1965,Aug,99
1965,Sep,119
1965,Oct,15
1965,Nov,106
1965,Dec,94
1966,Jan,73
1966,Feb,62
1966,Mar,21
1966,Apr,98
1966,May,33
1966,Jun,47
1966,Jul,81
1966,Aug,82
1966,Sep,31
1966,Oct,134
1966,Nov,79
1966,Dec,95
1967,Jan,25
1967,Feb,42
1967,Mar,28
1967,Apr,37
1967,May,83
1967,Jun,11
1967,Jul,48
1967,Aug,41
1967,Sep,67
1967,Oct,92
1967,Nov,61
1967,Dec,56
1968,Jan,84
1968,Feb,62
1968,Mar,44
1968,Apr,40
1968,May,55
1968,Jun,49
1968,Jul,33
1968,Aug,74
1968,Sep,73
1968,Oct,44
1968,Nov,25
1968,Dec,50
1969,Jan,37
1969,Feb,31
1969,Mar,49
1969,Apr,54
1969,May,80
1969,Jun,70
1969,Jul,29
1969,Aug,73
1969,Sep,38
1969,Oct,8
1969,Nov,82
1969,Dec,67
1970,Jan,57
1970,Feb,117
1970,Mar,65
1970,Apr,74
1970,May,33
1970,Jun,71
1970,Jul,34
1970,Aug,40
1970,Sep,21
1970,Oct,22
1970,Nov,66
1970,Dec,31
1971,Jan,66
1971,Feb,30
1971,Mar,31
1971,Apr,40
1971,May,85
1971,Jun,62
1971,Jul,54
1971,Aug,53
1971,Sep,5
1971,Oct,13
1971,Nov,62
1971,Dec,7
1972,Jan,93
1972,Feb,64
1972,Mar,35
1972,Apr,48
1972,May,66
1972,Jun,33
1972,Jul,168
1972,Aug,64
1972,Sep,42
1972,Oct,21
1972,Nov,88
1972,Dec,18
1973,Jan,24
1973,Feb,40
1973,Mar,4
1973,Apr,47
1973,May,89
1973,Jun,59
1973,Jul,52
1973,Aug,29
1973,Sep,81
1973,Oct,56
1973,Nov,49
1973,Dec,49
1974,Jan,64
1974,Feb,35
1974,Mar,60
1974,Apr,35
1974,May,53
1974,Jun,58
1974,Jul,27
1974,Aug,42
1974,Sep,108
1974,Oct,91
1974,Nov,61
1974,Dec,34
1975,Jan,69
1975,Feb,22
1975,Mar,65
1975,Apr,30
1975,May,101
1975,Jun,30
1975,Jul,46
1975,Aug,47
1975,Sep,144
1975,Oct,22
1975,Nov,72
1975,Dec,11
1976,Jan,14
1976,Feb,25
1976,Mar,31
1976,Apr,21
1976,May,17
1976,Jun,1
1976,Jul,85
1976,Aug,22
1976,Sep,46
1976,Oct,44
1976,Nov,45
1976,Dec,66
1977,Jan,60
1977,Feb,89
1977,Mar,37
1977,Apr,44
1977,May,71
1977,Jun,74
1977,Jul,109
1977,Aug,46
1977,Sep,9
1977,Oct,59
1977,Nov,71
1977,Dec,49
1978,Jan,90
1978,Feb,78
1978,Mar,109
1978,Apr,63
1978,May,70
1978,Jun,66
1978,Jul,58
1978,Aug,27
1978,Sep,45
1978,Oct,9
1978,Nov,9
1978,Dec,119
1979,Jan,29
1979,Feb,71
1979,Mar,116
1979,Apr,57
1979,May,49
1979,Jun,71
1979,Jul,11
1979,Aug,62
1979,Sep,24
1979,Oct,85
1979,Nov,47
1979,Dec,107
1980,Jan,35
1980,Feb,50
1980,Mar,94
1980,Apr,10
1980,May,51
1980,Jun,85
1980,Jul,108
1980,Aug,26
1980,Sep,41
1980,Oct,64
1980,Nov,47
1980,Dec,78
1981,Jan,57
1981,Feb,38
1981,Mar,56
1981,Apr,25
1981,May,109
1981,Jun,62
1981,Jul,45
1981,Aug,22
1981,Sep,41
1981,Oct,153
1981,Nov,31
1981,Dec,107
1982,Jan,55
1982,Feb,22
1982,Mar,49
1982,Apr,14
1982,May,104
1982,Jun,88
1982,Jul,47
1982,Aug,34
1982,Sep,48
1982,Oct,92
1982,Nov,65
1982,Dec,83
1983,Jan,46
1983,Feb,58
1983,Mar,37
1983,Apr,105
1983,May,70
1983,Jun,70
1983,Jul,63
1983,Aug,21
1983,Sep,70
1983,Oct,18
1983,Nov,27
1983,Dec,38
1984,Jan,104
1984,Feb,33
1984,Mar,41
1984,Apr,25
1984,May,112
1984,Jun,29
1984,Jul,51
1984,Aug,44
1984,Sep,115
1984,Oct,84
1984,Nov,70
1984,Dec,37
1985,Jan,32
1985,Feb,14
1985,Mar,66
1985,Apr,58
1985,May,60
1985,Jun,46
1985,Jul,71
1985,Aug,32
1985,Sep,31
1985,Oct,11
1985,Nov,59
1985,Dec,21
1986,Jan,84
1986,Feb,22
1986,Mar,72
1986,Apr,97
1986,May,22
1986,Jun,32
1986,Jul,13
1986,Aug,51
1986,Sep,53
1986,Oct,54
1986,Nov,39
1986,Dec,73
1987,Jan,28
1987,Feb,36
1987,Mar,49
1987,Apr,29
1987,May,64
1987,Jun,101
1987,Jul,62
1987,Aug,117
1987,Sep,12
1987,Oct,104
1987,Nov,62
1987,Dec,42
1988,Jan,118
1988,Feb,61
1988,Mar,76
1988,Apr,26
1988,May,67
1988,Jun,22
1988,Jul,126
1988,Aug,27
1988,Sep,46
1988,Oct,68
1988,Nov,37
1988,Dec,60
1989,Jan,25
1989,Feb,48
1989,Mar,72
1989,Apr,106
1989,May,14
1989,Jun,57
1989,Jul,34
1989,Aug,35
1989,Sep,71
1989,Oct,26
1989,Nov,32
1989,Dec,77
1990,Jan,37
1990,Feb,78
1990,Mar,6
1990,Apr,56
1990,May,8
1990,Jun,86
1990,Jul,34
1990,Aug,9
1990,Sep,36
1990,Oct,77
1990,Nov,30
1990,Dec,44
1991,Jan,54
1991,Feb,15
1991,Mar,62
1991,Apr,34
1991,May,18
1991,Jun,46
1991,Jul,47
1991,Aug,22
1991,Sep,46
1991,Oct,33
1991,Nov,66
1991,Dec,26
1992,Jan,8
1992,Feb,26
1992,Mar,49
1992,Apr,30
1992,May,133
1992,Jun,57
1992,Jul,29
1992,Aug,68
1992,Sep,45
1992,Oct,55
1992,Nov,82
1992,Dec,63
1993,Jan,51
1993,Feb,14
1993,Mar,8
1993,Apr,137
1993,May,46
1993,Jun,52
1993,Jul,49
1993,Aug,3
1993,Sep,77
1993,Oct,116
1993,Nov,29
1993,Dec,82
1994,Jan,70
1994,Feb,54
1994,Mar,33
1994,Apr,56
1994,May,56
1994,Jun,49
1994,Jul,84
1994,Aug,71
1994,Sep,77
1994,Oct,45
1994,Nov,51
1994,Dec,53
1995,Jan,115
1995,Feb,66
1995,Mar,68
1995,Apr,56
1995,May,78
1995,Jun,14
1995,Jul,115
1995,Aug,37
1995,Sep,63
1995,Oct,14
1995,Nov,11
1995,Dec,34
1996,Jan,40
1996,Feb,44
1996,Mar,16
1996,Apr,9
1996,May,50
1996,Jun,12
1996,Jul,38
1996,Aug,50
1996,Sep,42
1996,Oct,39
1996,Nov,80
1996,Dec,33
1997,Jan,4
1997,Feb,79
1997,Mar,9
1997,Apr,15
1997,May,99
1997,Jun,143
1997,Jul,29
1997,Aug,61
1997,Sep,3
1997,Oct,59
1997,Nov,72
1997,Dec,94
1998,Jan,77
1998,Feb,6
1998,Mar,23
1998,Apr,123
1998,May,16
1998,Jun,51
1998,Jul,37
1998,Aug,51
1998,Sep,92
1998,Oct,116
1998,Nov,33
1998,Dec,46
1999,Jan,51
1999,Feb,38
1999,Mar,42
1999,Apr,79
1999,May,74
1999,Jun,57
1999,Jul,43
1999,Aug,65
1999,Sep,84
1999,Oct,39
1999,Nov,27
1999,Dec,146
2000,Jan,14
2000,Feb,58
2000,Mar,38
2000,Apr,116
2000,May,97
2000,Jun,26
2000,Jul,160
2000,Aug,53
2000,Sep,47
2000,Oct,124
2000,Nov,105
2000,Dec,63
2001,Jan,65
2001,Feb,40
2001,Mar,128
2001,Apr,67
2001,May,26
2001,Jun,39
2001,Jul,204
2001,Aug,54
2001,Sep,70
2001,Oct,60
2001,Nov,44
2001,Dec,41
2002,Jan,27
2002,Feb,75
2002,Mar,62
2002,Apr,13
2002,May,76
2002,Jun,63
2002,Jul,54
2002,Aug,49
2002,Sep,15
2002,Oct,73
2002,Nov,107
2002,Dec,71
2003,Jan,43
2003,Feb,21
2003,Mar,20
2003,Apr,34
2003,May,62
2003,Jun,24
2003,Jul,43
2003,Aug,44
2003,Sep,15
2003,Oct,62
2003,Nov,48
2003,Dec,41
2004,Jan,101
2004,Feb,3
2004,Mar,34
2004,Apr,50
2004,May,42
2004,Jun,16
2004,Jul,49
2004,Aug,77
2004,Sep,37
2004,Oct,74
2004,Nov,24
2004,Dec,39
2005,Jan,44
2005,Feb,27
2005,Mar,48
2005,Apr,57
2005,May,46
2005,Jun,54
2005,Jul,34
2005,Aug,31
2005,Sep,31
2005,Oct,21
2005,Nov,27
2005,Dec,28
2006,Jan,31
2006,Feb,60
2006,Mar,73
2006,Apr,25
2006,May,57
2006,Jun,24
2006,Jul,56
2006,Aug,102
2006,Sep,42
2006,Oct,45
2006,Nov,52
2006,Dec,67
2007,Jan,28
2007,Feb,79
2007,Mar,41
2007,Apr,5
2007,May,102
2007,Jun,53
2007,Jul,74
2007,Aug,159
2007,Sep,18
2007,Oct,42
2007,Nov,29
2007,Dec,60
2008,Jan,49
2008,Feb,32
2008,Mar,76
2008,Apr,51
2008,May,67
2008,Jun,15
2008,Jul,40
2008,Aug,95
2008,Sep,17
2008,Oct,61
2008,Nov,50
2008,Dec,29
2009,Jan,46
2009,Feb,38
2009,Mar,31
2009,Apr,42
2009,May,71
2009,Jun,
2009,Jul,
2009,Aug,
2009,Sep,
2009,Oct,
2009,Nov,
2009,Dec,
